epoch,train_loss,train_pixel_acc,train_macro_precision,train_macro_recall,train_macro_f1,train_miou,train_iou_soil,train_iou_bedrock,train_iou_sand,train_iou_big_rock,train_f1_soil,train_f1_bedrock,train_f1_sand,train_f1_big_rock,val_loss,val_pixel_acc,val_macro_precision,val_macro_recall,val_macro_f1,val_miou,val_iou_soil,val_iou_bedrock,val_iou_sand,val_iou_big_rock,val_f1_soil,val_f1_bedrock,val_f1_sand,val_f1_big_rock
1,0.3111972336535062,0.8935976484396405,0.7972336184849715,0.6991566080448155,0.7248789253432937,0.6266553879672588,0.8105583585150282,0.8464983711562122,0.695653233612361,0.15391158858543402,0.8953683869978915,0.9168687981302719,0.8205135576334107,0.2667649586116003,0.17626687603080599,0.9472179195466742,0.9050402451025353,0.7615653820266045,0.7988494499032741,0.7222152349882249,0.9136304917457713,0.9211831652610173,0.8183862559433819,0.23566102700272948,0.9548661517321496,0.9589748462483352,0.9001236709395911,0.3814331306930201
2,0.21369040609750603,0.9277411645953079,0.8384618149215151,0.7564270654067391,0.7834199370139973,0.6947098954796243,0.8750767850884702,0.8949640549623284,0.7697856044091069,0.23901313745859154,0.9333770137276949,0.9445710092687182,0.8699196134163146,0.38581211164326135,0.1707963222517303,0.942397180832416,0.8611095148322656,0.8045450386253058,0.8281511014743135,0.7460926257355351,0.8930346539874451,0.9115096678842879,0.8491944047752262,0.33063177629518115,0.9434953048597438,0.9537065736033595,0.9184479496388981,0.49695457779525265
3,0.17961061835710906,0.9391959448389767,0.8574528329341023,0.7830994554630393,0.8096816563120193,0.7255103549700034,0.8964643395491699,0.908704074314332,0.8095318237858558,0.287341182230656,0.9454059544950942,0.9521686326784738,0.8947417372209812,0.44641030085352823,0.15670752108551153,0.9479327633339745,0.8898146549697308,0.795647924126066,0.8246901525419118,0.746315169686602,0.90737268658797,0.9199017779721707,0.8513771760948977,0.30660903809136986,0.9514372235356473,0.9582800417459948,0.9197230981211956,0.46932024676480977
4,0.17577617111492394,0.9404405304196632,0.8687793247481652,0.7972760280142513,0.8244012058499081,0.7379422663114067,0.8964895885926235,0.9141985691425587,0.8011007940774058,0.3399801134330392,0.9454199949048286,0.9551763164796262,0.8895679761079787,0.507440535907199,0.147852909746603,0.9505402188191867,0.9205642693492242,0.7839213187645121,0.820058207615639,0.745085261805829,0.9119779970140538,0.9221865914758485,0.8646843867943648,0.28149207193904896,0.9539628577711845,0.9595182856491742,0.9274324308366241,0.43931925620557294
5,0.1574395089100191,0.9466628594535891,0.8744001376350826,0.8093327433761796,0.8345317190482604,0.7521322968499082,0.908491194369885,0.9219073479396651,0.8236696429604771,0.35446100212960574,0.9520517538142049,0.9593671088541219,0.9033101429740387,0.5233978705506759,0.13444163651200966,0.9546515958208687,0.9077278012219828,0.7956134732944388,0.8356388414786547,0.7579144410304313,0.9238464781907298,0.9350965944921126,0.8336884030714521,0.3390262883674304,0.9604160089313102,0.9664598626789018,0.9093021493450651,0.5063773449593421
6,0.15318223904857706,0.9481661181624419,0.8786466269216495,0.814335186713574,0.8396291864970407,0.7579198652141474,0.9109811580376517,0.9240493760044269,0.828083260366339,0.36856566644817185,0.9534172058217908,0.9605256367410602,0.9059579268834158,0.5386159765418957,0.1499179048065226,0.9501014311710598,0.8640150658171661,0.8480759715033407,0.8536669760620148,0.7726689444395458,0.908059096766519,0.9329456928769153,0.8319716647017815,0.41769932341296756,0.9518144362560667,0.9653097821779719,0.9082800577450609,0.5892636280689596
7,0.14675477883583207,0.9499554931946084,0.8807528124426575,0.8172169628663806,0.8423629091318252,0.7625503609507693,0.914712482215387,0.9240836239975756,0.8425965247661437,0.3688088128239709,0.9554567494713934,0.9605441390090631,0.9145751806653631,0.5388755673814812,0.17984016406678813,0.9371899771645584,0.8700671829047386,0.84077247886202,0.8517266373496841,0.7655261765758768,0.8805828962041671,0.9016734421110675,0.8450046186233139,0.43484374936495873,0.9364999522021559,0.94829471994901,0.9159918735090969,0.6061200037384739
8,0.13077606184740725,0.9553705568275199,0.8904181422115887,0.8310039167970251,0.855229381994309,0.777780442376617,0.9254555099282538,0.9345625883074593,0.8453786895322601,0.40572498173849525,0.9612847507053088,0.9661745698541814,0.9162116093863348,0.5772465980314107,0.12287418978446307,0.9596134873020485,0.9325725941434995,0.8098737425140963,0.8495572005099244,0.7765128763641427,0.9305237772781633,0.9382089475719774,0.8733243623780859,0.3639944182283442,0.9640117238955968,0.9681195092477525,0.9323792290503059,0.5337183398460427
9,0.1282321342018473,0.9562407655525144,0.8888554755031313,0.8382933569322635,0.8596241663234614,0.7831616754931132,0.927502974985211,0.9342435836367452,0.8530682159452327,0.41783192740526426,0.962388112518317,0.9660040664368718,0.9207089178955318,0.5893955684431254,0.1483895773906724,0.9475502884440934,0.9034711401146021,0.7968959574158495,0.8344804144453957,0.755212535039834,0.900967926125247,0.9191654457886635,0.8615938938470775,0.33912287439834815,0.9479043951690649,0.9578803618053486,0.925651826313295,0.5064850744938741
10,0.13365033428592105,0.95433454466312,0.892053898607658,0.8395604964902994,0.8617301252646631,0.784078802052808,0.9234038098853314,0.9306060598521195,0.849694376784602,0.43261096168917873,0.9601767503412625,0.9640558777930277,0.9187402929355253,0.6039475799888369,0.12321716267152212,0.9596525438872906,0.9393690033406119,0.8001929548222824,0.8411622007670116,0.7691063449735609,0.9295421930332929,0.9388813273166279,0.8754909687171872,0.33251089082713586,0.9634847026294303,0.9684773524695662,0.9336125668635386,0.4990741811055119
