epoch,train_loss,train_pixel_acc,train_macro_precision,train_macro_recall,train_macro_f1,train_miou,train_iou_soil,train_iou_bedrock,train_iou_sand,train_iou_big_rock,train_f1_soil,train_f1_bedrock,train_f1_sand,train_f1_big_rock,val_loss,val_pixel_acc,val_macro_precision,val_macro_recall,val_macro_f1,val_miou,val_iou_soil,val_iou_bedrock,val_iou_sand,val_iou_big_rock,val_f1_soil,val_f1_bedrock,val_f1_sand,val_f1_big_rock
1,0.48824419921313894,0.820447257865236,0.7078720592519743,0.5952432278417144,0.6087120161167019,0.5004845163134092,0.6877166808667462,0.759839572070785,0.5142833840901709,0.04009842822593485,0.81496697717432,0.863532772110869,0.6792432506268189,0.07710506455479973,0.4949774205202784,0.8710581210720199,0.7778057917849788,0.6829210109451215,0.699751715411332,0.5937393435855454,0.7751221836636414,0.8140294240762515,0.6485320874065124,0.1372736791957767,0.8733169928206715,0.8974820510315832,0.7867994713119328,0.24140834648114043
2,0.3547907340100966,0.8762655882091739,0.7850131600903012,0.6679423828312321,0.693081944283969,0.589424350590026,0.7830263058569746,0.8307762761003118,0.6193380230056365,0.12455679739718091,0.878311557473274,0.9075672292077859,0.7649274138029385,0.22152157665187733,0.32986018077391593,0.887692755723475,0.8210616268922842,0.693665094599068,0.7295675144734921,0.6192661043085751,0.8029521121334046,0.8548004672519048,0.6067600838622234,0.21255175398676754,0.8907081965508625,0.9217168987647759,0.7552590955624653,0.3505858670158644
3,0.3023228279819716,0.8961858922635473,0.8019702331655955,0.6935138154734798,0.7195160978556642,0.6215030746160852,0.8211256037330125,0.8570371977032594,0.6593950023839541,0.1484544946441153,0.9017781113497967,0.9230156496194679,0.7947414587078135,0.25852917174557827,0.3239655751475499,0.8806835758626645,0.8869165440899243,0.6650202135399811,0.6960128568407812,0.5983875389646742,0.7897269229538469,0.8242221489778182,0.6722462949626192,0.10735478896441225,0.8825110834785918,0.903642299748642,0.8040039281142312,0.19389411602166012
4,0.2797426136341537,0.9045248282569943,0.8196967132554185,0.7152501147065048,0.7442209265604609,0.6450593140655588,0.8345391408491305,0.868191558079142,0.6825460216830228,0.19496053565094004,0.9098079427865453,0.9294459707026422,0.81132523317236,0.32630455958029564,0.2234908983166983,0.9233934430640645,0.8915796815213097,0.73000812697779,0.7574582228723429,0.6700056476671369,0.8638314106705717,0.8967873757307855,0.7367578966391131,0.1826459076280769,0.9269415739262764,0.9455855592509954,0.8484290160009242,0.30887674231117523
5,0.23647640442664608,0.9211115058590846,0.8358270613875478,0.7402991554973456,0.76914510921929,0.6775678325945029,0.8662974338617215,0.8859158579358352,0.7398590629685242,0.21819897561193077,0.9283594545470945,0.9395073000817891,0.8504816036142053,0.35823207863407097,0.20803086205723867,0.9308064632187009,0.8580251584684538,0.7757309929458415,0.8065751323586468,0.7161246141957119,0.8793171846121953,0.8965734005251303,0.78554175623995,0.3030661154055721,0.9357836897481211,0.945466598104149,0.8798917790572682,0.46515846252504867
6,0.22851588870279893,0.9215888529714877,0.842326491453744,0.7451830582865633,0.7751126438359439,0.6817490722183321,0.8660575855784299,0.8889577031810535,0.7340780811100376,0.2379029190038074,0.9282217143470497,0.9412150432839799,0.8466493972863067,0.3843644204264392,0.17624656981626405,0.9403236648735225,0.8587892463195318,0.7980036112384069,0.8225134674223267,0.7358643717508342,0.8989665392267332,0.9136296455455103,0.795479098048149,0.3353822041829442,0.9467955550099595,0.9548656895776584,0.8860911819162465,0.5023014431854423
7,0.20279224324037218,0.9299427794123651,0.84707062028106,0.7611718379210359,0.789819173044231,0.7000907869077222,0.879630839481939,0.9010766876178764,0.7608928247714607,0.258762795759613,0.9359612760172754,0.9479645860541118,0.8642125336273933,0.41113829647814376,0.3513031700366543,0.9151291839907224,0.8536589695094562,0.7186298147682398,0.7641995303990442,0.6584516897043151,0.8458816550560623,0.914635847516285,0.5870580323597333,0.2862312238851797,0.9165069198652507,0.9554149408643902,0.7398066364170406,0.4450696244494955
8,0.1955711929580775,0.9335579121744733,0.8525661684825049,0.7671079274977916,0.795548516186145,0.7084021383804838,0.8851756292563325,0.9042917785096597,0.7815109267565947,0.26263021899934863,0.9390908894839118,0.9497407789229675,0.877357432972878,0.4160049633648225,0.25128043088969304,0.912519216804353,0.7663148481715935,0.8261987853545665,0.7909606204369021,0.6885838983587449,0.8455901465383515,0.8909827636126655,0.7014033626179208,0.3163593206660416,0.9163357835691811,0.9423489000079484,0.8244997959076072,0.48065800226287175
9,0.18512590953068345,0.9368233947829417,0.8588543005209371,0.7762960007794457,0.8047689095187226,0.7183889407997465,0.8925013656440304,0.9080110580108899,0.7896573905604221,0.28338594898364333,0.9431975921875578,0.9517880456699435,0.8824676664092647,0.4416223338081246,0.21920962488992296,0.9240854816881908,0.8264426879226735,0.7957727676285963,0.8059086020334857,0.7077702073042809,0.8845390117275913,0.8926724227417656,0.7113190580271139,0.3425503367206529,0.9387325029862311,0.943293104517419,0.8313108589426079,0.5102979416876848
10,0.17338193040955452,0.9412926792170789,0.8659772855602121,0.7895074977841476,0.8171906335500762,0.7323824557048411,0.900458278398851,0.9141436699396478,0.8034926692349306,0.3114352052459347,0.947622253677695,0.9551463500835251,0.8910406822727298,0.4749532481663548,0.15704367677704315,0.9451910210727408,0.8828265034978011,0.8087372606165408,0.8364538897920203,0.7535145623509184,0.9036382028150757,0.9179739510641469,0.8299030346425456,0.3625430608819053,0.9493801936505698,0.95723297029592,0.9070459132870959,0.5321564819344954
