epoch,train_loss,train_pixel_acc,train_macro_precision,train_macro_recall,train_macro_f1,train_miou,train_iou_soil,train_iou_bedrock,train_iou_sand,train_iou_big_rock,train_f1_soil,train_f1_bedrock,train_f1_sand,train_f1_big_rock,val_loss,val_pixel_acc,val_macro_precision,val_macro_recall,val_macro_f1,val_miou,val_iou_soil,val_iou_bedrock,val_iou_sand,val_iou_big_rock,val_f1_soil,val_f1_bedrock,val_f1_sand,val_f1_big_rock
1,0.3048882312578912,0.8975414358648421,0.784225884710115,0.7021630663900842,0.7251154735506888,0.6298915603116924,0.8205993950477964,0.8511833830069674,0.7019881847950217,0.14579527839698397,0.9014606917693696,0.9196100081925821,0.8249037109257491,0.2544874833150546,0.16606959995271556,0.9474942561503114,0.8410454417380594,0.7925738065053851,0.8112405285680266,0.7326674760818292,0.9172541843426525,0.9220665701234804,0.8188920477241863,0.27245710213699786,0.9568414995079662,0.9594533139024036,0.9004295210904204,0.4282377797713162
2,0.2086799281226806,0.9326169650610027,0.8478679889499208,0.7605933346301824,0.7881633737386058,0.7035810154240979,0.8853611814446873,0.8975828414891875,0.7960704027960402,0.23530963596647636,0.9391953013117563,0.9460275692462594,0.886457904496734,0.38097271989967335,0.14448770447008646,0.9520255030344921,0.9026291394131349,0.7812284096580283,0.8180320240350283,0.7431658332088655,0.9207278648674552,0.9249520504005156,0.8505303927842224,0.2764530247832688,0.9587280756511669,0.9610130810350149,0.9192287747342445,0.4331581647196865
3,0.17884765833954708,0.9404232610701062,0.863861149766154,0.7795619665545775,0.8078525655500549,0.7251311844675941,0.9000150380796387,0.9091865762492506,0.8141449089469479,0.2771782145945389,0.9473767523322514,0.9524334473741617,0.8975522351398919,0.4340478273539145,0.23019421862818262,0.920400815839837,0.8756328902709365,0.7546651719856879,0.787528044409636,0.6976925642482195,0.849810628002399,0.8746606249207588,0.8173299156718052,0.24896908839791435,0.9188082446251753,0.9331402316696787,0.8994843573784594,0.3986793439652303
4,0.16839246928932952,0.9439918137202725,0.870332546178476,0.7981820856113995,0.8245691009448206,0.7421217028265321,0.9035446768743837,0.9156412975014648,0.8266500062936898,0.32265083063659,0.9493285740553525,0.9559632053195342,0.9050995028549808,0.48788512154941477,0.1482294987428433,0.9464720031292833,0.8795602529128248,0.8121875751115967,0.8377210204677761,0.7577767152030295,0.9025886263219779,0.9154816926622528,0.8607128665109394,0.3523236753169477,0.9488006117921115,0.955876212410448,0.9251431341197899,0.5210641235487553
5,0.14492356515412438,0.9512794136781951,0.8795418392921213,0.8104667328873243,0.8365958626886998,0.7585607417873445,0.9192016322464454,0.9246201167116307,0.8484840973814296,0.341937120809872,0.9579000109228029,0.9608338899532421,0.918032347243813,0.5096172026349414,0.205090921474111,0.9350009967637809,0.8466678739575766,0.8297110296977401,0.8339589115380325,0.7441990819290799,0.8899028975559002,0.9019407955150975,0.7979860323015072,0.3869666023438146,0.9417445718574085,0.9484425568255943,0.8876443064238941,0.5580042110452328
6,0.1418872156070908,0.9528798443513613,0.884475527541394,0.8199895864853002,0.8453044728511223,0.7668842706948181,0.9220068055918241,0.9291959795722241,0.8430103996036918,0.3733238980115322,0.9594209582493537,0.9632986896207194,0.9148189286229813,0.5436793149114347,0.14096326583333832,0.9562411876264609,0.9586838827840518,0.7227324974617495,0.7392110499586777,0.6944481358846519,0.9296163654731282,0.9340535891471731,0.8600012152994215,0.054121373618885145,0.9635245451960193,0.9659024903840058,0.9247318853611771,0.1026852788935085
7,0.13917803626180658,0.9531503298713297,0.8868862060856217,0.8198461493276996,0.8459728538287917,0.7673704951813876,0.921762103982784,0.9310101631495229,0.839944263733782,0.37676544985946137,0.959288459348828,0.9642726702489651,0.9130105517749008,0.5473197339424729,0.11100061635130007,0.9634162264993106,0.8812975344501384,0.8584312421716096,0.8689959229066566,0.7986624193185078,0.9395971701727333,0.9436507260812085,0.8867670640802586,0.4246347169398309,0.9688580542614127,0.9710085391559137,0.9399857364078579,0.5961313618014421
8,0.12758511262635777,0.9570036297019322,0.8910177310600391,0.8271704681269249,0.852575036982368,0.7769846707867966,0.9295675568327869,0.9349273628921559,0.8570480885311414,0.3863956748911021,0.9634983274263864,0.9663694677346716,0.9230219656924141,0.5574103870760001,0.1193823623980641,0.9604489264129835,0.9156355189074352,0.8260592428513525,0.8586627758934321,0.7850316349360319,0.9322800681119429,0.9419907733612706,0.8657784530341668,0.4000772452367473,0.9649533558791022,0.9701289895732635,0.9280613693718607,0.5715073887495018
9,0.12090648310090918,0.95866183418895,0.8955517352266555,0.8339815692318099,0.8587445257897259,0.7843302126283199,0.9327120461316899,0.9366120433873563,0.8640208311537085,0.40397592984052516,0.9651846978426233,0.9672686345052677,0.9270506173672636,0.5754741534437489,0.11344407256738982,0.9593173823335127,0.9404403940088475,0.8082353349179805,0.8523433902699156,0.7786028994915887,0.9292348782244922,0.93818009913993,0.8701968188531404,0.3767998017487922,0.9633195923548725,0.9681041504406781,0.9305938391942129,0.5473559790898989
10,0.11432944410193686,0.9606777222754199,0.8975456645068904,0.8408098811219903,0.8642337993405541,0.791511470942975,0.9362673713236299,0.9388297510975543,0.8737185780809187,0.417230183269797,0.9670847995368683,0.9684499121860558,0.9326038480926219,0.5887966375466706,0.1073763245908979,0.9647130744502959,0.9170187967032026,0.8603657673489095,0.8836918966229195,0.8150208615641221,0.9389290375331922,0.944540095218585,0.894791994497012,0.4818223190076995,0.9685027346098881,0.9714791662466835,0.9444751688789651,0.6503105167561409
