epoch,train_loss,train_pixel_acc,train_macro_precision,train_macro_recall,train_macro_f1,train_miou,train_iou_soil,train_iou_bedrock,train_iou_sand,train_iou_big_rock,train_f1_soil,train_f1_bedrock,train_f1_sand,train_f1_big_rock,val_loss,val_pixel_acc,val_macro_precision,val_macro_recall,val_macro_f1,val_miou,val_iou_soil,val_iou_bedrock,val_iou_sand,val_iou_big_rock,val_f1_soil,val_f1_bedrock,val_f1_sand,val_f1_big_rock
1,0.3713635208075912,0.8065359600679991,0.5950400981626416,0.5863312104800402,0.5895033742796585,0.47959843013327474,0.6755455673661064,0.7591555343304575,0.44705976258994984,0.03663285624658523,0.8063589323059943,0.863090863218022,0.6178870757755572,0.07067662581906016,0.25398410411913,0.8933238042494218,0.7284215263751379,0.7430935595480336,0.7351482946835761,0.6319346933693086,0.8168217710727986,0.8585927738083946,0.6604181484618221,0.19190608013421906,0.8991765555407525,0.9239170472492579,0.7954841364185341,0.32201543952576034
2,0.28880318097621943,0.8681549896462167,0.6914039196047703,0.6973197213571584,0.6942831803839069,0.5850234162564526,0.7802168040916024,0.8274119045603342,0.5852244434039077,0.14724051296996624,0.8765413317051363,0.9055559969758962,0.7383490026773438,0.25668639017725164,0.22011673687702388,0.92090782131633,0.797850598196445,0.7638431818756721,0.7783769837014938,0.6821089818045885,0.8682927653181175,0.8933958761432869,0.7077422081225839,0.25900507763436575,0.9295039636572223,0.9436968648760317,0.8288630505891406,0.4114440556835806
3,0.2547473279082805,0.8896145569876668,0.7315451313439969,0.741937885394782,0.7364608683579152,0.629945941092931,0.8152854453113643,0.8506260781500408,0.6472840921293534,0.20658814878096562,0.8982448985273165,0.9192846552771996,0.7858803411283274,0.3424335784988176,0.22746883840554982,0.901989052504561,0.7202008944694356,0.8104535635602683,0.7429610493520782,0.6543324771186064,0.8479098949681557,0.8562913183343106,0.7572588277168192,0.15586986745514,0.9176961466319836,0.9225829048235973,0.8618637343256678,0.2697014116270642
4,0.22197384975354803,0.9092163586251711,0.7617650226929855,0.7750084027960994,0.7679061737350813,0.6678883310007092,0.8489318613303307,0.8753583811047747,0.700379244170152,0.24688383739757988,0.9182943721020101,0.9335371734000321,0.8237918059409599,0.396001343497323,0.17306439437676424,0.938867481536297,0.7819740609553636,0.8606837523370788,0.8060700868480961,0.7246356940960005,0.9052145451873296,0.9135866096187528,0.8111326987804891,0.2686089227974303,0.9502494587535792,0.9548421848544288,0.8957186840326008,0.4234700197517751
5,0.20649630741554484,0.9143717615741065,0.7786455013084366,0.7917127071960179,0.7846903021259911,0.6857129906251951,0.853454168644964,0.8805231297869198,0.7276322095540296,0.28124245451486696,0.9209336633000748,0.9364661522522414,0.842346195596143,0.4390151973555051,0.17078369863294252,0.9342690619041418,0.8337934330676264,0.8335346687055991,0.832555365253114,0.7431061072771931,0.8809878160249387,0.9033313101279749,0.8088170056322196,0.3792882973236392,0.9367288916163699,0.9492107919632359,0.894304955242357,0.5499768221904932
6,0.20111365571608814,0.9187304324096048,0.7875485267641851,0.7927608174229057,0.7900808535139732,0.6925538340937487,0.8630633672331187,0.8868808848559676,0.7301767126336045,0.2900943716523043,0.9264992081449269,0.9400496787831889,0.844048711673765,0.449725815454012,0.1991526795115637,0.9200958827675182,0.808245415226871,0.7987834764646286,0.8005150422039132,0.7073527751043989,0.8547559073054675,0.875916756459565,0.8042150007995732,0.29452343585299007,0.9216909933412938,0.9338546110246625,0.89148466279542,0.45502990165427687
7,0.19292486589679966,0.9241251310866856,0.7971885400654231,0.8066682669666106,0.8016763329383656,0.7059966745046824,0.8727140092654921,0.894489339469216,0.7427291154594947,0.3140542338245268,0.9320312711360728,0.9443065430173956,0.8523747137411292,0.47799280385886483,0.1479447050325906,0.956621134814307,0.8888602306886436,0.8244164479331214,0.8501094280431113,0.7742879920183254,0.9258756764896491,0.935868125706805,0.8569798353121665,0.37842833056468084,0.9615113662755104,0.9668717752813106,0.9229823814081861,0.549072189207438
8,0.18627365800408432,0.9265594334355512,0.802738002992696,0.8111594750470562,0.8066823860151084,0.7124004960853502,0.8783763004928659,0.8953475885637653,0.7541131762588306,0.32176491902593896,0.9352506207216518,0.944784580902923,0.859822714366428,0.4868716280694309,0.14221095621808252,0.9491190689262048,0.8248029565646227,0.8911257382973148,0.8523353480360203,0.7713368661876201,0.9115110746855611,0.9310060907753352,0.8303507253884254,0.4124795739011585,0.9537073436365257,0.9642704859631342,0.9073132420692295,0.5840503204751915
9,0.17861105346373415,0.9297659769877102,0.8176848447275044,0.8257991469974528,0.8215509390323308,0.7279810107433163,0.8791502817218314,0.9009436644580212,0.7673012994387811,0.36452879735463173,0.9356891678890228,0.9478909673153458,0.8683310533206774,0.5342925676042769,0.137238521888778,0.9565281083592337,0.8357466718367819,0.8832142964487228,0.8548824679424212,0.780325111950478,0.9309748322311467,0.9342795459983172,0.8662918563587938,0.3897542132136542,0.9642537196147379,0.9660232906155607,0.9283562518978092,0.5608966096415766
10,0.17301539340478123,0.934873812229614,0.8220572949749627,0.8310721108400458,0.8263611792941389,0.7355402338436883,0.8913339606875879,0.9080220780663213,0.7748554777226168,0.3679494188982271,0.9425452925966322,0.9517940997685689,0.8731476871755429,0.5379576376358113,0.14847714844998436,0.9491311581452209,0.8062515152505815,0.8927066808339972,0.8307685245591201,0.7557584278056823,0.9239884403097784,0.9205530931243951,0.8667182718036327,0.31177390598492266,0.9604927149775676,0.9586333191407276,0.9286010480475329,0.4753470160706528
