epoch,train_loss,train_pixel_acc,train_macro_precision,train_macro_recall,train_macro_f1,train_miou,train_iou_soil,train_iou_bedrock,train_iou_sand,train_iou_big_rock,train_f1_soil,train_f1_bedrock,train_f1_sand,train_f1_big_rock,val_loss,val_pixel_acc,val_macro_precision,val_macro_recall,val_macro_f1,val_miou,val_iou_soil,val_iou_bedrock,val_iou_sand,val_iou_big_rock,val_f1_soil,val_f1_bedrock,val_f1_sand,val_f1_big_rock
1,0.5822151815009058,0.7740600148434729,0.6106820088499589,0.7796807472576193,0.6244532607553384,0.501951796569491,0.7009151661301298,0.6906415468763863,0.5239370601930134,0.09231341307843435,0.8241624039656319,0.8170171236498841,0.6876098414803087,0.16902367392552892,0.4577072210128035,0.8641378420425201,0.7051733336011128,0.829639947874856,0.7028280310862225,0.6112731632188376,0.8141415530769825,0.8150442680825603,0.7165124147170946,0.09939441699871292,0.8975501957889203,0.8980985008626058,0.8348467608779364,0.18081666681542738
2,0.3968535771788056,0.8529436221996882,0.6786718252274189,0.8555954943371409,0.7006946514130848,0.5973330395967575,0.8127142378041148,0.7857122967115225,0.6607016092984366,0.13020401457295616,0.8966821364940204,0.8799987524955799,0.795689732097193,0.23040798456554584,0.3487598235853276,0.8946253092779018,0.7168207748894729,0.8698625121066095,0.7495736271626595,0.6546236041261106,0.855465828026201,0.8363467840179195,0.739859242802351,0.18682256165797084,0.9221035656967725,0.9108810942424925,0.850481722429734,0.3148281262816388
3,0.31109477614807846,0.8818114007596148,0.7086131565075675,0.8883978510185147,0.7345952120098599,0.6403784588899624,0.8526484230690534,0.8192678889497047,0.732350415472131,0.15724710806896025,0.9204643605893805,0.9006566805532187,0.8454991656778711,0.2717606412189691,0.3544024170853605,0.8744972711486756,0.713898106737386,0.8697257017381568,0.740693748037185,0.63879440388167,0.8110425850227115,0.7965302982794549,0.7589699450433947,0.18863478718111892,0.8956637372633506,0.8867429611867387,0.8629709076970397,0.3173973860016111
4,0.2861409828585772,0.8919215711590495,0.7165474345790699,0.897635280766405,0.7473192157329466,0.6528521858802037,0.8601002937594212,0.8398991693219422,0.7293890695951085,0.18202021084434256,0.9247891596432365,0.9129839105596327,0.8435222384809522,0.30798155424796503,0.28243277981803194,0.9192444986657569,0.7568631509082918,0.896570059000055,0.7875078756964686,0.701771673656462,0.879944373474686,0.8718425232879824,0.8195752408187897,0.23572455704439005,0.9361387346241764,0.9315340499435619,0.900842375113364,0.38151634310477217
5,0.25473613915177273,0.9016441931127295,0.7276872576140073,0.9083727760952834,0.757933686039173,0.6694339462028757,0.8784354861282463,0.8492166144316854,0.7665568531947263,0.18352683105684478,0.9352841687827903,0.9184609394094283,0.8678541557357844,0.3101354802286886,0.27899082935419844,0.9012697738125026,0.7232692412413269,0.8983781370278476,0.7657975139676207,0.6674229016353872,0.8922753549892991,0.8381056508866583,0.7024985175500122,0.23681208311557897,0.943071369223505,0.9119232623891002,0.8252559521291405,0.3829394721287376
6,0.2259873093722101,0.9133815888687563,0.7428440279127146,0.9207481147548577,0.7783387956633872,0.6900433348583768,0.8840057373367501,0.8700252055047847,0.7812060507127202,0.22493634587925174,0.938432107522049,0.9304956991416251,0.8771652784355745,0.3672620975542998,0.1980727002840137,0.9318904121503778,0.7627489909066713,0.9305406557279422,0.7928067745749555,0.717383739213904,0.9120516962708899,0.8974816986652735,0.8432323329026753,0.21676922901677712,0.9540031768484118,0.945971388600065,0.914949589208121,0.3563029436432243
7,0.19733302790059973,0.9230671261208008,0.7549615685454455,0.9306127428446114,0.7907351509545154,0.707384749986814,0.9027950251471755,0.8798979600161598,0.8101405289048326,0.2367054858790884,0.9489146368530907,0.9361124685811423,0.8951134080120626,0.38280009037176604,0.24453956118567072,0.9449127219344667,0.7945662084106894,0.9099781481688254,0.8262994536926308,0.7488476307963277,0.9197939024337345,0.9145738080835427,0.8530829359213736,0.3079398767466593,0.9582215062431715,0.955381092357612,0.9207174912511381,0.47087772491860125
8,0.1909746235208725,0.926023242231219,0.7613512875153746,0.9350771366605698,0.8001066510516921,0.7154137886278853,0.9010005548226232,0.8858545204130616,0.8111208369077834,0.2636792423680731,0.9479224532958831,0.9394728074979618,0.8957114515806672,0.4173198918322558,0.2438275851865313,0.9353727466426819,0.7763910786983672,0.9028053072204042,0.8163672369637772,0.7312668154346054,0.8970219749020574,0.9082824215430244,0.8103917657915273,0.30937109950181274,0.9457159556076266,0.9519371045802711,0.8952667385081289,0.47254914915908247
9,0.21080610595309912,0.917885018947276,0.7482191910770136,0.9272571004208054,0.7867053486147852,0.6978445955053963,0.890553596742225,0.8781102219750171,0.7760683533338713,0.24664620997047174,0.9421088069402969,0.9350997739111705,0.8739172136890625,0.3956955999186111,0.23092923541344815,0.944189242281428,0.7956765178106391,0.9164753760325959,0.8333634790033138,0.7529734669872127,0.9202180529637464,0.9126795067313322,0.8375699463849766,0.34142636186879527,0.9584516212030842,0.9543465107654916,0.9116060567188272,0.5090497273258522
10,0.1634564589088162,0.9348941800432835,0.7748606960092501,0.9439615186162515,0.8158835717687454,0.7336756146599246,0.9140247554461152,0.8987577934094784,0.8253755818607517,0.2965443279233535,0.9550814354358739,0.9466797677182005,0.9043350749974697,0.4574380089234375,0.19418857140994783,0.945538098171978,0.7850048845534745,0.9296244120328037,0.8206836844063787,0.7471691904470567,0.9307615360932874,0.9114881003726543,0.8680202003301288,0.2784069249921563,0.9641392980886828,0.9536947681698644,0.9293477663424194,0.43555290502454824
11,0.15892491595059707,0.9371215527331531,0.7765474312465979,0.9463449664525292,0.8166055802201673,0.7370358443333324,0.9203720107682996,0.899685484537787,0.8394444960154154,0.28864138601182754,0.9585351229937978,0.947194145410039,0.9127152222677573,0.44797783020907456,0.2326272949576378,0.9399474098511499,0.7831826436439844,0.9211231563822124,0.8227459452664779,0.7416318974860516,0.9089444824481209,0.9103498681692032,0.8356170049963515,0.31161623433053104,0.9523005941817335,0.9530713544542141,0.9104480975295327,0.47516373490043123
12,0.1405132234198463,0.9427359866405589,0.7884206076776207,0.9515529849082585,0.8310947552070919,0.7517454747913708,0.9252788991131643,0.9096733225678497,0.842016126866229,0.3300135506182402,0.9611894666678074,0.95270045595461,0.9142331759041306,0.4962559223018193,0.19527138241413813,0.9312531981973491,0.7650982709986656,0.9359510049976965,0.8025740826456754,0.7242744213034139,0.9121198400343562,0.8839784617518172,0.8533776365812297,0.2476217468462525,0.9540404538844068,0.9384167385113097,0.9208891050988629,0.3969500330881225
13,0.16583934885945487,0.9349740577466016,0.7743586658998506,0.9423617368484798,0.8153610321081473,0.7330553782906576,0.9147828634523968,0.8991697649789288,0.8226365483771053,0.29563233635419944,0.9554951435094253,0.9469082559751373,0.9026885246091821,0.4563522043388445,0.17826523427939533,0.948605473205495,0.7938563700324803,0.9370857497885977,0.8328552164042505,0.7584797767456946,0.9292564988726671,0.9182541576663117,0.8708430128528416,0.3155654375909576,0.963331210147725,0.9573852911993184,0.9309632148390996,0.47974114943085894
14,0.11366467465141519,0.9532119411214344,0.8101871005533559,0.9617089296789267,0.8546854371396194,0.7797364996455656,0.9392414869149363,0.9253559799791092,0.8633642833305417,0.39098424835767526,0.9686689288074731,0.9612310550370727,0.9266725685939582,0.5621691961199735,0.18258542046692242,0.9385723293924099,0.7732500309192284,0.9380783299612616,0.8130616862896856,0.7351654898397849,0.9216666081959504,0.9016699836947847,0.8439901622190548,0.27333520524934984,0.9592367419661055,0.9482928072960808,0.9153955151289294,0.42932168076762633
15,0.11499717399311155,0.9519970671913556,0.8125437407004883,0.9604376083788775,0.8576220327471621,0.7810592104680835,0.9327893626916688,0.9258153120083794,0.8555786492086447,0.41005351796364103,0.9652260931239306,0.9614788149569659,0.9221691029621011,0.5816141199456508,0.21212618451435766,0.9238740727609511,0.7477854269615112,0.9308510059277689,0.7843111817669468,0.7042216649398726,0.9079514250137372,0.8803047862273331,0.8162977526443198,0.21233269587410006,0.9517552838188456,0.9363426532494431,0.8988589579604257,0.35028783203907293
